epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,2128.27,0.5265,0.46341,0.9627,0.97995,0.95985,0.98281,0.93417,0.32457,0.2531,0.75476,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,2157.96,0.5152,0.45739,0.9615,0.97608,0.96171,0.98345,0.93374,0.32916,0.25446,0.76822,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,2187.6,0.50312,0.43933,0.95224,0.98229,0.95984,0.98221,0.93362,0.3219,0.2505,0.76366,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,2217.1,0.51251,0.45104,0.95307,0.98641,0.95199,0.98263,0.93517,0.32229,0.25117,0.76417,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,2246.95,0.50301,0.44939,0.95429,0.98042,0.96188,0.98398,0.93462,0.32544,0.25159,0.76702,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,2276.5,0.50954,0.45679,0.95828,0.98089,0.96335,0.98297,0.93826,0.31368,0.24444,0.76009,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,2306.51,0.50088,0.45036,0.95263,0.98264,0.96347,0.98283,0.93537,0.32615,0.24865,0.76875,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,2336.3,0.496,0.44715,0.9536,0.97832,0.96504,0.98405,0.93566,0.32041,0.24547,0.76549,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,2366.02,0.4919,0.43818,0.95246,0.98292,0.96246,0.98243,0.93508,0.32133,0.24466,0.75504,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,2395.76,0.49813,0.44986,0.94443,0.98745,0.96194,0.98321,0.93699,0.31914,0.24558,0.75183,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,2425.54,0.49623,0.44645,0.95045,0.98542,0.96552,0.98507,0.94017,0.30978,0.23692,0.74184,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,2455.2,0.48894,0.44008,0.94781,0.9831,0.96469,0.98489,0.93843,0.31353,0.24148,0.74507,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,2484.82,0.48086,0.42469,0.93841,0.98621,0.96421,0.98326,0.94031,0.30998,0.24012,0.75302,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,2514.3,0.4843,0.44122,0.94684,0.98531,0.96624,0.98421,0.94418,0.30055,0.23464,0.75606,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,2544.25,0.47291,0.42254,0.93586,0.99101,0.96508,0.98529,0.94662,0.2924,0.22664,0.7539,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,2573.93,0.47997,0.4315,0.94434,0.98793,0.96442,0.98437,0.94611,0.29689,0.22558,0.75347,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,2603.59,0.47738,0.42055,0.9384,0.99023,0.9629,0.98435,0.94599,0.29393,0.2245,0.7509,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,2633.3,0.46615,0.40748,0.93543,0.98709,0.96508,0.98254,0.9462,0.29373,0.22488,0.75338,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,2663.33,0.48306,0.42805,0.94769,0.98718,0.96552,0.98533,0.94498,0.30235,0.22681,0.76159,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,2692.79,0.46811,0.4123,0.93679,0.9846,0.96901,0.98533,0.94598,0.29288,0.2233,0.75428,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,2722.52,0.47093,0.4196,0.9454,0.98233,0.97032,0.98461,0.94759,0.29105,0.22291,0.75261,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,2752.16,0.46559,0.41768,0.93982,0.98671,0.96726,0.9838,0.94837,0.28415,0.22095,0.75332,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,2781.95,0.46441,0.41865,0.93725,0.98786,0.96726,0.98459,0.94929,0.28653,0.21929,0.75489,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,2811.65,0.45708,0.40148,0.9387,0.98755,0.96975,0.98395,0.94863,0.28155,0.21654,0.75371,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,2859.53,0.37073,0.28369,0.8843,0.9869,0.96508,0.98362,0.93977,0.29867,0.22768,0.76549,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,2889.26,0.36503,0.27427,0.88012,0.9849,0.9629,0.98299,0.93836,0.30133,0.22988,0.76446,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,2918.87,0.36299,0.27055,0.87271,0.9888,0.96346,0.98199,0.94355,0.29113,0.22031,0.75435,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,2948.34,0.35224,0.26726,0.87341,0.98882,0.96504,0.98213,0.9471,0.28428,0.2164,0.74951,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,2978,0.35251,0.26014,0.86463,0.98837,0.96471,0.98264,0.94669,0.28423,0.21706,0.74734,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,3007.58,0.3572,0.26821,0.87365,0.98837,0.96471,0.98312,0.94626,0.28236,0.21667,0.74872,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,3037.25,0.35413,0.26908,0.87644,0.98564,0.96945,0.98302,0.94895,0.27757,0.2129,0.74825,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,3066.95,0.34309,0.25715,0.8644,0.98865,0.9677,0.98239,0.94922,0.27513,0.21178,0.74559,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,3096.29,0.34431,0.26128,0.86651,0.98787,0.96901,0.98283,0.94972,0.27342,0.21044,0.74472,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,3126.2,0.34818,0.26421,0.87001,0.98536,0.9697,0.98339,0.94952,0.27372,0.21051,0.74452,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
