epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,919.189,0.73429,0.69699,1.01048,0.93019,0.8995,0.94888,0.82852,0.5127,0.43921,0.76801,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,938.146,0.73937,0.70531,1.01557,0.94072,0.8927,0.95063,0.82983,0.51429,0.43286,0.76538,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,956.339,0.72918,0.69447,1.01907,0.93754,0.89311,0.9533,0.82625,0.52283,0.43747,0.76963,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,976.573,0.73674,0.69773,1.02433,0.93271,0.89682,0.95049,0.82551,0.51809,0.42856,0.76758,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,993.669,0.72161,0.68864,1.01404,0.94823,0.88467,0.95108,0.82745,0.51408,0.42909,0.76461,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,1010.65,0.7391,0.7091,1.02649,0.92431,0.89308,0.94914,0.82934,0.5087,0.42622,0.76157,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,1031.97,0.72445,0.68848,1.00984,0.94506,0.88305,0.94952,0.83162,0.50952,0.43118,0.76702,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,1050.68,0.71963,0.69121,1.01244,0.9589,0.88397,0.95446,0.83394,0.5061,0.42334,0.7638,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,1067.96,0.7098,0.67838,1.01196,0.93557,0.90999,0.95542,0.83902,0.50198,0.41609,0.76191,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,1084.97,0.72276,0.69137,1.01646,0.95751,0.88744,0.95667,0.84006,0.49314,0.41151,0.75692,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,1104.6,0.71899,0.69374,1.01164,0.94629,0.89381,0.95462,0.83949,0.49612,0.41212,0.7533,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,1124.65,0.69936,0.67019,1.00257,0.93462,0.91477,0.95453,0.84183,0.49289,0.40265,0.75392,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,1142.86,0.68553,0.64515,0.99681,0.94104,0.90999,0.95802,0.84556,0.49039,0.3996,0.75347,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,1161,0.69676,0.65333,0.99905,0.94956,0.90788,0.95958,0.8488,0.48583,0.40097,0.75323,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,1180.04,0.69419,0.65663,1.0019,0.94794,0.90908,0.96071,0.84714,0.49197,0.40148,0.75482,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,1197.4,0.69429,0.65935,1.00361,0.95432,0.91091,0.95782,0.84768,0.48098,0.39063,0.751,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,1215.31,0.7031,0.6629,1.00397,0.94383,0.92163,0.96289,0.85181,0.48472,0.39421,0.75397,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
